tract2010,tract2020,weight,allocated_pop2010,method
55011960400,55011960400,1.00000000,2518.00,population
55011960500,55011960100,0.00518293,17.00,population
55011960500,55011960400,0.00009686,0.32,population
55011960500,55011960500,0.99472021,3262.68,population
55013970400,55013970400,0.99960974,3778.52,population
55013970400,55013970700,0.00039026,1.48,population
55013970600,55013970600,1.00000000,1913.00,population
55013970700,55013970700,1.00000000,2489.00,population
55013970800,55013970800,1.00000000,2329.00,population
55013970900,55013970900,1.00000000,3019.00,population
55013971000,55013971000,1.00000000,1927.00,population
55015020100,55015020100,0.99999549,4633.98,population
55015020100,55015020200,0.00000451,0.02,population
55015020200,55015020100,0.00003255,0.13,population
55015020200,55015020200,0.99975263,3907.03,population
55015020200,55015020400,0.00007729,0.30,population
55015020200,55015020500,0.00003052,0.12,population
55015020200,55015020600,0.00010700,0.42,population
55015020303,55015020303,1.00000000,3878.00,population
55015020304,55015020304,1.00000000,3827.00,population
55015020306,55015020306,1.00000000,6453.00,population
55015020308,55015020308,1.00000000,2997.00,population
55015020400,55015020400,0.99979295,3420.29,population
55015020400,55015020500,0.00020705,0.71,population
55015020500,55015020200,0.00001964,0.10,population
55015020500,55015020400,0.00010337,0.53,population
55015020500,55015020500,0.99987699,5105.37,population
55015020600,55015020200,0.00000923,0.05,population
55015020600,55015020400,0.00045195,2.28,population
55015020600,55015020600,0.99953883,5050.67,population
55015020700,55015020700,1.00000000,4136.00,population
55015020800,55015020800,1.00000000,5558.00,population
55017010100,55017010100,1.00000000,3004.00,population
55017010200,55017010200,1.00000000,6767.00,population
55017010300,55017010300,1.00000000,5465.00,population
55017010400,55017010400,1.00000000,4876.00,population
55017010500,55017010500,0.99997580,5377.87,population
55017010500,55017010700,0.00002420,0.13,population
55017010700,55017010700,1.00000000,7226.00,population
55017010800,55017010800,1.00000000,7061.00,population
55017010900,55017010900,0.99999644,4819.98,population
55017010900,55119960300,0.00000356,0.02,population
55017011000,55017011001,0.48001688,3400.92,population
55017011000,55017011002,0.51998312,3684.08,population
55017011100,55017011100,1.00000000,4077.00,population
55017011200,55017011100,0.00000399,0.03,population
55017011200,55017011200,0.99999601,6655.97,population
55019950100,55019950100,0.99995578,4949.78,population
55019950100,55073002200,0.00004422,0.22,population
55019950200,55019950200,0.99996879,4519.86,population
55019950200,55119960300,0.00003121,0.14,population
55019950300,55019950300,1.00000000,4350.00,population
55019950400,55019950400,1.00000000,3988.00,population
55019950500,55019950500,1.00000000,5277.00,population
55019950600,55019950500,0.00000071,0.00,population
55019950600,55019950600,0.99999929,4797.00,population
55019950700,55019950700,1.00000000,3635.00,population
55019950800,55019950800,0.99966075,3171.92,population
55019950800,55053960100,0.00002647,0.08,population
55019950800,55053960200,0.00008945,0.28,population
55019950800,55053960300,0.00022333,0.71,population
55021970100,55021970100,1.00000000,4153.00,population
55021970200,55021970200,1.00000000,5868.00,population
55021970300,55021970300,0.99675649,3995.00,population
55021970300,55021970401,0.00324351,13.00,population
55021970400,55021970401,0.40384322,2648.00,population
55021970400,55021970402,0.59615678,3909.00,population
55021970500,55021970500,1.00000000,4316.00,population
55021970600,55021970402,0.00001246,0.06,population
55021970600,55021970600,0.99998754,4631.94,population
55021970700,55021970700,1.00000000,4206.00,population
55021970800,55021970800,0.99999423,5604.97,population
55021970800,55025012900,0.00000577,0.03,population
55021970900,55021970900,1.00000000,4695.00,population
55021971000,55021971000,1.00000000,3971.00,population
55021971100,55021971100,0.99998777,3621.96,population
55021971100,55025011700,0.00000709,0.03,population
55021971100,55025011800,0.00000514,0.02,population
