district_code,school_code,school_name,enrollment,chronic_absence_rate,pct_econ_disadvantaged,pct_students_with_disabilities,pct_ell,pct_white,pct_black,pct_hispanic
1260,,[Districtwide],988,,44.23,16.30,7.79,81.28,0.20,10.73
4970,,[Districtwide],6000,,35.32,13.17,7.12,72.53,1.67,5.75
1295,,[Districtwide],900,,,8.78,16.44,66.11,0.33,31.89
8009,,[Districtwide],192,,96.35,14.06,,0.52,82.29,1.04
1316,,[Districtwide],4147,,17.02,12.30,3.09,81.00,2.87,6.90
1414,,[Districtwide],4555,,20.86,12.40,2.37,83.89,1.38,6.19
1421,,[Districtwide],468,,41.24,18.38,,93.80,0.43,2.14
1309,,[Districtwide],751,,23.44,18.11,1.07,85.75,1.73,5.99
1380,,[Districtwide],1817,,62.96,13.70,20.36,41.72,1.76,52.67
1407,,[Districtwide],1622,,21.21,13.87,2.34,89.89,0.74,5.43
2744,,[Districtwide],754,,49.73,19.10,6.37,83.82,1.06,13.13
1428,,[Districtwide],1068,,33.61,11.42,2.15,89.23,1.31,3.84
1449,,[Districtwide],86,,37.21,11.63,,77.91,2.33,17.44
8006,,[Districtwide],240,,16.67,6.67,,62.50,5.42,20.83
8011,,[Districtwide],331,,12.69,16.31,,0.30,98.49,0.91
1491,,[Districtwide],338,,49.41,11.83,0.30,85.21,0.30,4.14
1499,,[Districtwide],999,,40.04,11.81,3.40,91.79,0.20,5.61
1540,,[Districtwide],1456,,23.08,12.29,0.69,88.60,1.17,6.80
1554,,[Districtwide],10871,,38.12,16.01,4.36,73.77,2.58,6.61
1561,,[Districtwide],611,,31.42,15.88,0.98,93.13,0.49,2.78
1568,,[Districtwide],1930,,31.76,17.05,4.15,84.04,1.14,10.10
1582,,[Districtwide],272,,48.53,15.44,,92.28,,3.31
1600,,[Districtwide],667,,36.73,13.49,2.10,89.21,0.45,8.70
1645,,[Districtwide],1210,,32.15,10.33,2.98,86.12,1.07,3.97
1631,,[Districtwide],480,,10.21,11.67,2.92,88.13,0.63,8.33
1638,,[Districtwide],3582,,37.94,13.37,4.52,80.60,1.12,14.99
1659,,[Districtwide],1624,,30.42,14.90,0.62,91.32,0.37,3.63
0714,,[Districtwide],7781,,9.03,11.01,3.08,69.63,2.58,6.98
1666,,[Districtwide],321,,35.83,15.89,1.56,94.39,0.93,4.05
1687,,[Districtwide],399,,14.29,9.02,0.50,91.48,0.25,5.51
1694,,[Districtwide],1594,,27.16,11.79,2.38,85.13,1.82,7.28
1729,,[Districtwide],871,,10.45,14.58,0.11,93.69,0.34,1.49
1736,,[Districtwide],499,,31.86,13.63,1.80,85.97,0.80,8.02
1813,,[Districtwide],810,,37.78,18.02,1.23,92.84,0.25,4.94
5757,,[Districtwide],461,,61.17,18.22,,97.83,0.43,1.08
1855,,[Districtwide],390,,50.51,11.79,0.26,91.28,1.03,3.08
1862,,[Districtwide],6603,,46.58,16.93,7.77,62.82,8.69,17.49
1870,,[Districtwide],206,,28.64,15.05,0.49,89.81,0.97,4.85
1883,,[Districtwide],2523,,39.44,16.69,5.67,78.91,1.90,15.10
1890,,[Districtwide],825,,7.88,11.76,4.00,75.03,5.45,5.58
1900,,[Districtwide],4781,,17.88,9.37,4.37,68.56,2.11,10.96
1939,,[Districtwide],429,,55.24,10.72,1.17,89.98,1.17,2.10
1953,,[Districtwide],1554,,19.43,14.22,1.35,89.00,0.13,3.93
2009,,[Districtwide],1364,,28.15,11.95,1.91,90.76,0.51,3.89
2044,,[Districtwide],152,,28.95,9.87,9.21,80.92,1.32,15.79
2051,,[Districtwide],469,,36.25,19.83,4.90,63.54,,34.97
2058,,[Districtwide],3903,,15.91,12.66,1.59,78.89,5.15,4.89
2114,,[Districtwide],547,,31.63,10.60,3.29,86.47,0.18,9.87
2128,,[Districtwide],517,,56.87,23.98,3.87,83.37,0.39,9.28
2135,,[Districtwide],355,,41.97,15.77,,95.77,1.13,1.97
2142,,[Districtwide],135,,48.15,16.30,,97.04,,1.48
2184,,[Districtwide],962,,36.28,16.42,3.01,42.93,32.74,9.88
2198,,[Districtwide],624,,32.53,18.27,1.12,91.83,0.80,2.72
2212,,[Districtwide],78,,62.82,21.79,,93.59,1.28,1.28
2217,,[Districtwide],2116,,18.67,14.74,1.70,82.51,2.60,5.62
2226,,[Districtwide],226,,49.12,14.60,8.41,85.40,,11.06
2233,,[Districtwide],1759,,50.54,10.35,0.17,81.41,3.81,6.54
2289,,[Districtwide],18922,,60.62,16.18,21.29,38.57,8.64,32.79
2310,,[Districtwide],297,,38.72,12.79,,89.90,,4.38
2296,,[Districtwide],2664,,26.54,13.63,6.27,69.07,2.14,17.42
2303,,[Districtwide],3493,,50.87,12.45,9.05,48.90,5.38,29.12
2394,,[Districtwide],365,,48.49,19.73,,92.60,1.92,3.01
2415,,[Districtwide],300,,62.67,20.00,0.67,45.00,0.67,7.00
2420,,[Districtwide],5106,,12.91,9.85,1.55,74.66,3.11,6.78
2443,,[Districtwide],1517,,36.91,17.93,4.48,78.71,2.57,13.32
2436,,[Districtwide],1316,,21.50,11.25,1.29,85.11,0.99,8.89
2460,,[Districtwide],1139,,20.81,11.94,2.02,84.55,1.05,6.94
2478,,[Districtwide],1905,,48.87,15.12,0.05,67.77,0.68,5.30
2525,,[Districtwide],318,,24.84,12.58,,94.03,1.26,3.46
2527,,[Districtwide],288,,29.86,17.01,2.08,89.24,0.69,5.90
2534,,[Districtwide],468,,35.04,11.97,8.55,82.26,1.07,14.96
2541,,[Districtwide],502,,44.02,14.74,1.20,91.04,,5.38
2562,,[Districtwide],3879,,25.24,13.79,3.66,83.99,0.62,2.35
2570,,[Districtwide],483,,16.15,9.94,,92.34,0.62,1.45
2576,,[Districtwide],799,,42.43,18.27,1.13,79.60,3.63,8.89
2583,,[Districtwide],4258,,15.85,9.86,2.23,89.50,0.52,5.57
2604,,[Districtwide],5781,,20.91,12.90,1.92,85.28,1.50,4.74
2605,,[Districtwide],925,,14.92,12.76,0.76,90.16,0.43,2.70
2611,,[Districtwide],5377,,14.04,13.52,1.99,87.22,1.19,5.04
2618,,[Districtwide],546,,44.51,13.92,,92.86,0.55,2.75
2625,,[Districtwide],298,,27.85,15.10,,89.60,,6.04
2632,,[Districtwide],432,,66.44,13.19,29.86,45.83,0.69,50.69
2639,,[Districtwide],571,,36.60,14.36,,94.57,,3.15
2646,,[Districtwide],676,,41.72,14.64,3.70,90.83,1.04,7.54
8018,,[Districtwide],208,,19.71,8.17,1.44,69.71,4.33,14.42
2660,,[Districtwide],367,,44.41,19.07,0.54,92.10,0.54,4.36
2695,,[Districtwide],9537,,56.43,13.65,6.43,68.19,5.73,15.36
2702,,[Districtwide],1731,,39.86,17.22,5.31,75.04,0.87,20.10
2730,,[Districtwide],605,,25.95,15.04,7.44,76.36,1.16,17.36
2737,,[Districtwide],283,,61.48,14.13,,95.41,0.35,2.83
2758,,[Districtwide],4057,,24.92,15.92,3.13,84.08,1.55,6.51
2793,,[Districtwide],19069,,58.16,13.94,9.29,45.72,13.75,31.03
8029,,[Districtwide],41,,53.66,24.39,14.63,78.05,4.88,14.63
1376,,[Districtwide],3477,,12.37,13.20,0.66,88.15,0.72,6.44
2800,,[Districtwide],1789,,23.53,12.80,0.89,92.57,1.45,3.19
2814,,[Districtwide],861,,39.26,18.47,4.99,83.74,0.46,11.73
5960,,[Districtwide],471,,48.41,15.50,,95.54,0.64,1.06
2828,,[Districtwide],1224,,24.59,10.29,1.96,88.97,1.31,5.72
2835,,[Districtwide],5132,,16.66,12.55,1.75,87.84,1.34,3.99
2842,,[Districtwide],714,,2.66,6.86,3.92,79.41,0.98,6.44
8014,,[Districtwide],225,,64.00,10.67,16.89,11.56,20.00,64.89
2849,,[Districtwide],5992,,47.66,15.69,5.52,67.92,5.37,5.64
2863,,[Districtwide],250,,46.00,16.80,,91.20,1.60,3.20
1848,,[Districtwide],515,,10.10,26.80,,2.33,,6.80
2856,,[Districtwide],743,,56.93,18.71,0.13,87.35,0.54,4.98
3862,,[Districtwide],485,,8.04,9.90,0.21,86.19,0.82,4.54
8021,,[Districtwide],508,,7.09,8.46,1.38,86.61,1.97,5.71
2885,,[Districtwide],1824,,43.20,13.60,7.40,69.41,0.99,26.54
2884,,[Districtwide],1347,,34.45,11.51,5.12,70.60,0.74,24.57
2891,,[Districtwide],270,,56.30,19.26,0.74,96.30,,1.11
2898,,[Districtwide],1511,,26.60,12.97,4.10,84.45,0.26,10.32
3647,,[Districtwide],745,,47.25,15.84,0.54,62.68,0.27,4.56
2912,,[Districtwide],991,,36.73,18.37,1.21,94.75,1.01,2.32
2940,,[Districtwide],292,,43.49,11.99,,75.68,0.68,1.03
2961,,[Districtwide],423,,38.30,19.62,1.18,95.04,,4.26
3087,,[Districtwide],95,,41.05,23.16,14.74,63.16,1.05,31.58
3094,,[Districtwide],148,,25.68,8.78,6.76,86.49,0.68,7.43
3129,,[Districtwide],1582,,33.31,14.54,3.16,82.24,2.21,9.36
3150,,[Districtwide],1491,,16.03,14.29,2.82,90.27,0.47,4.76
3171,,[Districtwide],1023,,30.30,14.47,2.15,87.00,1.37,8.70
3206,,[Districtwide],484,,44.01,9.71,2.27,89.88,0.41,6.40
3213,,[Districtwide],394,,46.19,12.69,,92.13,,3.30
3220,,[Districtwide],2001,,20.19,13.59,3.70,90.40,0.55,6.35
3269,,[Districtwide],25237,,46.00,15.43,20.26,40.28,18.16,24.08
3276,,[Districtwide],564,,44.50,14.36,0.89,90.07,0.35,4.61
3290,,[Districtwide],4726,,48.12,18.01,10.33,60.81,4.19,17.56
3297,,[Districtwide],1295,,33.59,16.45,0.08,91.27,0.54,2.16
1897,,[Districtwide],442,,13.80,16.74,5.43,66.97,8.82,9.50
3304,,[Districtwide],753,,22.97,11.69,3.19,90.17,0.13,4.12
3311,,[Districtwide],1919,,52.06,18.19,2.81,84.42,3.02,6.31
3318,,[Districtwide],458,,21.18,15.94,0.22,89.96,0.22,3.49
3325,,[Districtwide],780,,40.64,13.72,3.85,84.23,1.41,11.67
3332,,[Districtwide],918,,35.84,13.94,11.22,66.56,3.70,20.37
3339,,[Districtwide],3842,,38.11,13.35,2.00,86.39,1.35,6.61
3360,,[Districtwide],1411,,54.15,15.73,1.20,84.62,0.71,7.30
3367,,[Districtwide],979,,38.61,12.97,4.19,86.31,1.02,7.66
3381,,[Districtwide],5484,,40.59,15.44,2.75,68.02,8.95,11.56
3409,,[Districtwide],3150,,42.70,17.52,2.19,88.60,0.98,6.51
3427,,[Districtwide],270,,46.67,15.56,0.37,89.26,2.59,1.85
3428,,[Districtwide],757,,42.01,16.12,1.98,91.02,0.53,3.43
3430,,[Districtwide],3160,,57.69,17.69,11.84,57.47,6.87,22.18
3434,,[Districtwide],987,,93.31,22.70,,0.30,0.20,6.99
3437,,[Districtwide],3914,,20.82,12.60,2.84,70.16,8.07,5.21
3444,,[Districtwide],3290,,41.43,17.29,4.50,79.24,1.22,4.07
3479,,[Districtwide],3562,,10.98,9.77,2.25,74.62,5.76,6.49
3484,,[Districtwide],123,,65.85,18.70,,81.30,,10.57
3500,,[Districtwide],2907,,39.83,17.30,0.62,87.17,1.03,4.02
3528,,[Districtwide],920,,6.52,8.91,0.22,92.50,0.98,2.50
3549,,[Districtwide],7263,,17.80,10.78,5.82,66.17,4.94,9.62
8019,,[Districtwide],42,,38.10,,,45.24,7.14,11.90
3612,,[Districtwide],3425,,23.09,12.96,1.93,88.58,0.79,5.66
3619,,[Districtwide],67500,,82.54,19.14,14.47,9.26,49.81,28.11
8012,,[Districtwide],231,,90.04,6.49,13.42,,94.81,2.60
8013,,[Districtwide],670,,89.55,8.81,0.45,0.60,82.99,3.28
8008,,[Districtwide],1401,,92.36,8.14,0.14,0.29,95.72,2.36
3633,,[Districtwide],777,,25.10,12.36,0.13,93.69,0.77,1.80
3640,,[Districtwide],551,,34.30,15.79,0.18,88.02,0.36,3.09
3661,,[Districtwide],919,,25.57,16.43,0.87,94.56,,3.92
3668,,[Districtwide],962,,37.53,14.76,0.83,91.58,0.42,4.89
3675,,[Districtwide],3539,,18.37,8.82,3.02,79.20,3.08,7.37
3682,,[Districtwide],2241,,42.61,14.64,6.69,82.64,0.76,12.94
3689,,[Districtwide],593,,47.05,17.03,,89.71,0.51,6.07
3696,,[Districtwide],300,,37.67,12.67,2.33,92.67,0.33,3.33
3787,,[Districtwide],1983,,28.14,16.64,0.91,92.08,0.86,3.03
3794,,[Districtwide],2387,,14.41,13.53,1.89,89.11,1.05,4.61
3822,,[Districtwide],5009,,12.90,11.34,0.24,89.32,0.62,5.89
3857,,[Districtwide],4767,,8.98,10.51,0.57,88.19,0.59,6.63
3871,,[Districtwide],698,,58.45,21.78,0.14,93.41,0.86,1.86
3892,,[Districtwide],6527,,31.64,15.52,3.39,81.06,2.64,7.40
3899,,[Districtwide],861,,45.64,20.21,1.16,92.22,1.63,4.07
3906,,[Districtwide],1246,,50.08,13.32,2.81,82.91,0.64,7.78
3920,,[Districtwide],298,,42.28,15.44,,90.94,0.67,2.35
3925,,[Districtwide],4256,,14.17,9.99,2.37,78.10,1.13,8.95
3934,,[Districtwide],961,,20.29,11.86,0.31,90.43,0.83,3.75
3941,,[Districtwide],1024,,27.15,13.87,4.59,87.01,0.98,9.08
8024,,[Districtwide],155,,,6.45,,92.90,0.65,1.29
3948,,[Districtwide],582,,50.69,18.38,0.34,90.38,0.52,3.95
3955,,[Districtwide],2102,,37.96,17.60,4.95,86.25,1.24,9.23
3962,,[Districtwide],3554,,27.52,14.69,0.73,89.98,0.93,4.28
